"datum","siemens","zalando"
2023-03-13,-4.4339,-0.9785
2023-03-14,3.2775,1.9481
2023-03-15,-5.1381,-4.8186
2023-03-16,2.071,0.4655
2023-03-17,-2.5539,-1.1584
2023-03-20,1.0629,-1.5529
2023-03-21,2.8526,-0.119
2023-03-22,1.5128,2.205
2023-03-23,0.1656,2.6531
2023-03-24,-3.1685,-3.5501
2023-03-27,0.7682,2.0024
2023-03-28,1.313,0.9238
2023-03-29,1.937,2.46
2023-03-30,1.5174,5.3322
2023-03-31,0.4982,2.1468
2023-04-03,-0.67,-1.0898
2023-04-04,-0.4721,0.787
2023-04-05,-2.4532,-3.2535
2023-04-06,-1.9591,-0.9685
2023-04-11,1.5731,1.9017
2023-04-12,1.0325,-3.839
2023-04-13,-0.3729,2.5506
2023-04-14,1.303,1.7032
2023-04-17,0.6158,-0.824
2023-04-18,0.0952,0.7237
2023-04-19,-0.4212,-0.1064
2023-04-20,-0.3957,-0.3463
2023-04-21,-0.2466,0.1069
2023-04-24,0.0137,-2.1629
2023-04-25,1.1808,-2.2107
2023-04-26,-1.1535,1.2001
2023-04-27,1.1532,1.7099
2023-04-28,1.0451,0.7863
2023-05-02,-1.0611,-3.6589
2023-05-03,1.4662,-2.1223
2023-05-04,-0.6556,-7.0185
2023-05-05,1.3333,0.1841
2023-05-08,-0.4386,-0.0919
2023-05-09,0.5473,-2.851
2023-05-10,-0.9825,-1.0413
2023-05-11,-0.2011,1.8495
2023-05-12,0.833,0.814
2023-05-15,0.3464,-1.4596
2023-05-16,-0.6772,-2.8364
2023-05-17,2.5535,0.519
2023-05-18,2.8158,0.6454
2023-05-19,1.2933,-1.026
2023-05-22,-1.1641,0.1296
2023-05-23,-1.5704,-2.6529
2023-05-24,-2.0458,-3.556
2023-05-25,0.9063,-1.8608
2023-05-26,1.9787,-0.316
2023-05-29,-0.434,-0.951
2023-05-30,0.4231,-1.2091
2023-05-31,-2.1192,-2.6638
2023-06-01,2.1782,-2.071
2023-06-02,1.6594,2.4169
2023-06-05,-0.4771,-3.7979
2023-06-06,-0.1009,-2.2231
2023-06-07,0.0631,-2.6656
2023-06-08,0.1893,-0.7249
2023-06-09,-0.3905,-1.2576
2023-06-12,1.6694,1.5612
2023-06-13,2.2888,2.589
2023-06-14,-0.073,4.1798
2023-06-15,0.8762,-2.536
2023-06-16,-1.2064,3.534
2023-06-19,-0.2931,-1.7629
2023-06-20,-1.09,-1.6037
2023-06-21,-0.7058,-0.6597
2023-06-22,0.0873,3.9062
2023-06-23,-2.2053,0.188
2023-06-26,-0.9555,1.8762
2023-06-27,1.3378,2.3941
2023-06-28,-3.0718,-5.7554
2023-06-29,-1.4013,0
2023-06-30,1.3016,0.6107
2023-07-03,-2.4649,-1.9727
2023-07-04,-1.1964,0.4257
2023-07-05,-0.7891,-2.3121
2023-07-06,-2.4822,-4.7337
2023-07-07,0.2813,2.236
2023-07-10,1.234,0.81
2023-07-11,1.1082,3.6159
2023-07-12,2.2469,10.5079
2023-07-13,0.8308,-0.4912
2023-07-14,0.0664,-0.5289
2023-07-17,-0.4515,-0.6735
2023-07-18,0.1868,4.4968
2023-07-19,-1.1585,1.6052
2023-07-20,1.9803,1.3782
2023-07-21,0.1321,2.8183
2023-07-24,-0.3298,-0.6127
2023-07-25,0.4633,1.7197
2023-07-26,-0.6061,-2.0096
2023-07-27,3.1813,2.0508
2023-07-28,-0.8993,-0.1914
2023-07-31,0.4537,0.3516
2023-08-01,-2.9165,-3.4713
2023-08-02,-1.7546,-3.2662
2023-08-03,-1.0553,6.9577
2023-08-04,1.764,-1.5306
2023-08-07,-0.3091,0.5829
2023-08-08,-1.8197,-2.962
2023-08-09,0.5491,-4.3132
2023-08-10,-4.7925,1.8724
2023-08-11,-1.4628,-3.2335
2023-08-14,0.946,-1.7235
2023-08-15,-0.7641,-1.1811
2023-08-16,0.3342,-0.6157
2023-08-17,-1.6652,0.1093
2023-08-18,-1.0455,-3.6767
2023-08-21,0.3869,0.4157
2023-08-22,1.4675,0.6022
2023-08-23,0.073,0.7108
2023-08-24,-1.0219,-1.7088
2023-08-25,0.59,-0.0378
2023-08-28,1.173,2.4197
2023-08-29,1.5072,3.0639
2023-08-30,-1.2707,-0.6805
2023-08-31,0.4194,3.6062
2023-09-01,-0.9937,-1.079
